"t.stamp","n.data","u.avg","v.avg","w.avg","t.avg","uu","uv","uw","vv","vw","ww","ut","vt","wt","u.rns","v.rns","w.rns","uu.nst","uv.nst","uw.nst","vv.nst","vw.nst","ww.nst","ut.nst","vt.nst","wt.nst","u.trend.slope","u.trend.constant","v.trend.slope","v.trend.constant","w.trend.slope","w.trend.constant","t.trend.slope","t.trend.constant","theta","phi","psi","u.avg.rot","v.avg.rot","w.avg.rot","Dir","uu.rot","uv.rot","uw.rot","vv.rot","vw.rot","ww.rot","ut.rot","vt.rot","wt.rot","u.star","H0.v","L","z.over.L","T.star","Rho.air","Rho.Cp","Pa"
2012-02-01 12:00:00,196,0.319744897959184,0.226989795918367,0.260255102040816,-4.48474489795918,0.0814849360309648,0.0403265775212497,-0.0359004736257402,0.0653360145216528,-0.0390011841160457,0.0814831670267963,-0.0330512925995557,-0.026343370252291,0.0127063663955835,1.38888599219104e-15,3.05691886978156e-15,1.0664757539038e-15,0.445855626987552,0.597887952601184,0.689236981421484,0.531104299534906,0.664049056482988,0.538528492051558,0.33337480824125,0.477924056087178,0.419068603984607,0.00241596474591398,0.0817723704866562,0.00228240722294384,0.00217268445839875,-0.00200687709679733,0.457932496075353,-0.000409223119157855,-4.44443642072213,35.3712870314537,33.5724789068088,0,0.470631368865555,0,0,234.628712968546,0.0563762791986394,-0.00136375009527822,-0.0351870105476615,0.0326772575424682,-0.0123217534798268,0.139250580838306,-0.0281340399516919,-0.00234837006485865,0.0339230570521678,0.19308560513559,43.9519833142783,-14.5290499414489,-0.688276249328023,-0.175689208050212,1288.79397407114,1295.63745527674,993.840877777828
2012-02-01 12:10:00,1289,0.690473235065943,0.395159038013964,0.145407292474787,-4.33140418929403,0.241641439507447,0.0478939112375668,-0.0781455943502558,0.158251117595514,-0.0349033753420493,0.162630114687709,-0.0741693022923834,-0.0605123638118326,0.0250765363855144,5.78849792529446e-15,1.18001519764325e-14,1.45070010649814e-14,0.0533268139459839,0.31314499853179,0.129838628428697,0.0863723646245405,0.393662197744625,0.0335401982124779,0.122737221184091,0.00927562351612135,0.429684388802595,0.000165570471686389,0.583680280828222,-0.000330458382560599,0.608304694765551,-0.000206508824152007,0.278605484052831,0.000191251556100817,-4.45476144297905,29.782581445664,10.3579163246079,0,0.808731868032538,0,0,240.217418554336,0.229013520905579,-0.0099659640423339,-0.0972939514618618,0.137530847628802,0.0104852090182776,0.195978303256288,-0.0883823392315013,-0.0156790353242583,0.0416460588411083,0.312821526332279,53.9280020001382,-50.3554281886878,-0.198588322246587,-0.133130412505154,1288.0728439304,1294.91249594323,993.851702661515
2012-02-01 12:20:00,4919,0.64422646879447,0.410996137426306,0.102545232770888,-4.02300264281358,0.160848479494128,0.0150408440019325,-0.0572040483370274,0.179204013254766,-0.0395322677768144,0.160202522499952,-0.000704894730667885,-0.0673303165841306,0.0295613005264183,1.41314106807224e-14,9.7246726299641e-15,3.24799991562457e-15,0.0226442430885547,0.68949691694852,0.155698390748948,0.00687725006541912,0.0637154684242675,0.0212208857403922,2.92255127920121,0.204105774018036,0.0106076588279965,7.48691110635366e-05,0.46004845557817,7.08457995332519e-05,0.236715470574507,-1.39786950123457e-05,0.136932822501259,0.000111087098472819,-4.29627690505673,32.5365892751976,7.64302291047513,0,0.771013030265229,-5.55111512312578e-17,1.38777878078145e-17,237.463410724802,0.161131682250881,0.014191064460682,-0.0696124132866013,0.160254569914542,-0.0044883849461813,0.178868763083423,-0.0325484012103576,-0.056383579770145,0.0341940405285348,0.264115432222294,44.2285176037257,-36.9538063224989,-0.270608118490668,-0.129466272534031,1286.62493470778,1293.45689833926,993.873436862198
2012-02-01 12:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1268.03123092922,1274.76446220711,994.152499220195
2012-02-01 12:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1268.03123092922,1274.76446220711,994.152499220195
2012-02-01 12:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1268.03123092922,1274.76446220711,994.152499220195
2012-02-01 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1268.03123092922,1274.76446220711,994.152499220195
2012-02-01 13:10:00,1975,0.553615189873418,0.269098734177215,0.103660759493671,-1.01310886075949,0.0975492742480365,-0.0114337587966909,-0.0194947124210447,0.19269903350528,-0.0246967657307187,0.0802715831908549,-0.0690438822670907,-0.000514269328055744,0.0268002204096773,1.00270282041846e-14,1.77405479831959e-14,8.56812572123161e-15,0.296893679955109,1.33867097906458,0.172784115789896,0.0419779491865617,0.07208060862474,0.00488038936111409,0.74493304524287,52.8554408644719,0.223202847116072,0.000298418745697865,0.258777469123928,-0.000157711724254596,0.424917917740756,-3.47073737919557e-05,0.137951644800123,-0.000529960557819999,-0.489507829633334,25.9232472536255,9.55909111601879,0,0.624219080334112,0,0,244.076752746374,0.0967342538230769,0.0276527737696608,-0.0311021315630987,0.183505543219064,-0.0185389143267753,0.0902800939020311,-0.0570056269263479,0.0297211651331066,0.0367775040932034,0.190284530516524,47.0538995712307,-12.9923172615771,-0.769685637955713,-0.193276374035091,1272.66286230642,1279.42068749375,994.082993158544
2012-02-01 13:20:00,6001,0.492116313947675,0.332392934510915,0.111184802532911,-1.97988501916347,0.138702568559546,-0.0073380293553228,-0.047771752572668,0.152873030145501,-0.0150843158169286,0.109513549638553,-0.0828902802921689,-0.0550349161709699,0.0615917772142909,6.76805255074231e-15,5.0435391162893e-14,1.29810000929352e-14,0.0109478210023824,0.392623099789834,0.0142259895475674,0.045468364511353,0.194290252685723,0.0101508723884997,0.0558314495428102,0.152831228344709,0.0316733396174551,5.34420787693887e-05,0.33173663556074,3.75666473670583e-05,0.219655425762373,-2.32248945957635e-05,0.180882711214797,-0.000159717100354428,-1.50057400099983,34.0364969903596,10.6044646826426,0,0.604173476478823,0,0,235.96350300964,0.118050452495249,0.00638735801033181,-0.0496288863858529,0.155240801011006,0.0132902908128997,0.127797894837345,-0.0864599472378719,0.000789020178604154,0.0788494930615093,0.226666283354703,101.234532242638,-10.2064495148365,-0.979772641354238,-0.347865998835479,1277.11432830642,1283.89579072711,994.016186138134
2012-02-01 13:30:00,6000,0.637261666666667,0.501838333333333,0.0564183333333333,-2.29163666666667,0.164846027470061,0.0416578118843307,-0.070734502948907,0.143642888559236,-0.0409680018979523,0.125532266943103,-0.0832031955981702,-0.0397005450426737,0.0600546555667959,5.22653291119368e-16,3.40696065716265e-14,6.73985499868452e-14,0.0173888644585244,0.0147413926459141,0.00432860982127482,0.0185912419664221,0.0191175786964326,0.0013814212780517,0.00641930247672875,0.00947324645442439,0.000310432578676289,-2.09287025257973e-05,0.700058238595322,3.22107083947419e-05,0.405190102794911,1.18294844952635e-05,0.0209239651052953,7.46322242953396e-06,-2.31403006556648,38.2201418650434,3.97877597179719,0,0.813097271512865,0,0,231.779858134957,0.185679304398256,0.000265514755961842,-0.0851015904925852,0.111262182406715,0.0115857711018458,0.13707969616743,-0.0855460734115085,0.0202862230463999,0.066149868995061,0.293064183981635,85.0254388937708,-26.2647033246475,-0.380739118823997,-0.225718025643168,1278.55641722216,1285.34553711844,993.994542474529
