time.stamp,u   ,v   ,w   ,t   ,q   ,c
    0.00,  0.66, -2.24, -0.42, 29.22,1294.5311,  22.5802
    0.10,  0.71, -2.20, -0.44, 29.06,1307.7761,  22.5325
    0.20,  0.67, -2.17, -0.40, 29.21,1311.7924,  22.5155
    0.30,  0.61, -2.21, -0.33, 29.25,1288.6349,  22.6082
    0.40,  0.44, -2.53, -0.12, 29.40,1204.2085,  22.9354
    0.50,  0.52, -2.52, -0.14, 29.35,1186.7764,  23.0074
    0.60,  0.33, -2.47, -0.17, 29.17,1190.1090,  22.9867
    0.70,  0.69, -3.10, -0.47, 29.22,1200.5341,  22.9391
    0.80,  0.38, -2.83, -0.54, 29.06,1191.8180,  22.9708
    0.90,  0.28, -2.83, -0.60, 29.24,1189.9380,  22.9867
    1.00, -0.12, -2.75,  0.15, 29.50,1178.8293,  23.0330
    1.10,  0.61, -2.60, -0.40, 28.72,1177.1202,  23.0343
    1.20,  0.16, -3.08, -0.06, 29.24,1174.0441,  23.0538
    1.30,  0.14, -2.73, -0.19, 28.56,1248.7289,  22.7926
    1.40,  0.06, -2.32, -0.52, 28.83,1184.0419,  23.0318
    1.50,  0.11, -2.64, -0.68, 28.33,1177.4620,  23.0746
    1.60,  0.41, -2.38, -0.82, 28.99,1174.0441,  23.0672
    1.70,  0.67, -2.24, -0.94, 28.97,1173.7021,  23.0843
    1.80,  1.00, -2.48, -0.23, 28.86,1174.6422,  23.0685
    1.90,  1.00, -1.96, -0.23, 29.00,1169.7714,  23.0904
    2.00,  0.38, -1.48, -1.05, 28.72,1168.5751,  23.1002
    2.10,  0.32, -1.48, -0.74, 28.85,1170.7114,  23.0855
    2.20,  0.46, -1.88, -0.64, 29.08,1181.8201,  23.0367
    2.30,  0.53, -1.88, -0.75, 29.14,1208.3102,  22.9329
    2.40,  1.01, -1.89, -1.01, 29.46,1215.0609,  22.9098
    2.50,  0.72, -2.00, -0.84, 28.31,1203.6958,  22.9488
    2.60,  0.70, -1.98, -0.95, 28.38,1210.0192,  22.9342
    2.70,  0.79, -1.87, -0.89, 28.58,1222.3243,  22.8805
    2.80,  0.35, -1.89, -0.64, 29.31,1225.3151,  22.8487
    2.90,  0.78, -2.05, -0.31, 29.13,1197.7996,  22.9683
    3.00,  0.81, -2.23, -0.34, 28.72,1182.3329,  23.0367
    3.10,  0.83, -2.09, -0.12, 28.70,1170.0277,  23.0672
    3.20,  0.71, -1.97, -0.18, 28.85,1168.0624,  23.0770
    3.30,  0.62, -2.06, -0.11, 29.02,1161.9098,  23.1270
    3.40,  0.94, -2.43,  0.27, 29.15,1160.6281,  23.1270
    3.50,  0.78, -2.04,  0.54, 29.27,1164.9006,  23.1002
    3.60,  0.30, -2.08,  0.52, 29.31,1196.6033,  22.9708
    3.70,  0.63, -2.43,  0.09, 29.18,1213.3518,  22.9146
    3.80,  0.75, -2.50,  0.06, 29.39,1193.0997,  22.9879
    3.90,  0.70, -2.98,  0.07, 29.33,1186.6055,  23.0123
    4.00,  0.69, -3.20,  0.17, 29.49,1200.7904,  22.9647
    4.10,  0.67, -2.96,  0.15, 29.56,1201.2177,  22.9513
    4.20,  0.70, -2.80, -0.20, 29.78,1199.3378,  22.9439
    4.30,  0.94, -2.67, -0.21, 29.84,1219.5898,  22.8841
    4.40,  1.18, -2.59, -0.10, 29.72,1194.2961,  22.9635
    4.50,  0.84, -2.74, -0.37, 29.14,1207.1993,  22.8951
    4.60,  0.53, -2.77, -0.35, 29.32,1215.4882,  22.8646
    4.70,  0.53, -2.80, -0.09, 29.71,1220.0171,  22.8487
    4.80,  0.86, -2.34, -0.26, 29.67,1215.5736,  22.8756
    4.90,  0.17, -2.99,  0.04, 29.71,1204.6357,  22.9281
    5.00,  0.31, -2.94,  0.26, 29.81,1195.4070,  22.9683
    5.10,  0.06, -2.57,  0.24, 29.53,1231.2113,  22.8353
    5.20,  0.04, -2.36,  0.29, 29.54,1239.4147,  22.7938
    5.30, -0.08, -2.27,  0.11, 29.45,1234.6294,  22.8072
    5.40,  0.17, -2.31,  0.33, 29.38,1230.8695,  22.8255
    5.50,  0.10, -2.31,  0.29, 29.36,1224.1188,  22.8487
    5.60,  0.37, -2.16,  0.27, 29.47,1228.8186,  22.8304
    5.70,  0.38, -2.31,  0.47, 29.64,1228.2205,  22.8402
    5.80,  0.30, -2.43,  0.24, 29.70,1226.7678,  22.8451
    5.90,  0.28, -2.47,  0.20, 29.79,1210.9592,  22.9171
    6.00,  0.50, -2.47,  0.53, 29.45,1230.8695,  22.8499
    6.10,  0.88, -2.30, -0.09, 29.21,1267.6138,  22.6998
    6.20,  0.26, -2.31,  0.18, 28.99,1198.8251,  22.9806
    6.30,  0.54, -2.43,  0.43, 29.70,1166.2679,  23.1112
    6.40,  0.51, -2.45,  0.04, 29.53,1164.4734,  23.1051
    6.50,  0.62, -2.57,  0.26, 29.24,1159.5172,  23.1234
    6.60,  0.67, -2.67,  0.12, 29.10,1209.4210,  22.9281
    6.70,  0.62, -2.63, -0.16, 28.88,1207.1993,  22.9281
    6.80,  0.37, -2.64, -0.14, 28.99,1181.0510,  23.0392
    6.90,  0.50, -2.70, -0.18, 28.61,1174.8131,  23.0831
    7.00,  0.46, -2.71, -0.23, 28.50,1180.0256,  23.0501
    7.10,  0.33, -2.78, -0.32, 28.33,1173.4458,  23.0782
    7.20,  0.37, -2.61, -0.65, 28.70,1164.8152,  23.1283
    7.30,  0.00, -2.66,  0.31, 28.95,1178.4021,  23.0819
    7.40,  0.78, -2.73,  0.46, 29.10,1175.9240,  23.0941
    7.50,  1.39, -2.61,  0.43, 29.46,1209.2501,  22.9391
    7.60,  0.77, -2.56,  0.03, 29.43,1203.0977,  22.9769
    7.70,  0.51, -2.57,  0.26, 29.45,1217.1117,  22.9110
    7.80,  0.69, -2.70,  0.28, 29.33,1212.7537,  22.9256
    7.90,  0.69, -2.73, -0.16, 28.63,1227.7932,  22.8499
    8.00,  0.55, -2.85, -0.18, 28.82,1219.2480,  22.8890
    8.10,  0.60, -2.96, -0.13, 29.25,1221.4697,  22.8829
    8.20,  0.58, -2.80, -0.69, 28.96,1169.9423,  23.0685
    8.30,  0.88, -2.77, -0.11, 29.50,1184.2982,  23.0282
    8.40,  1.39, -2.71,  0.48, 29.47,1200.3632,  22.9537
    8.50,  0.81, -2.66,  0.56, 29.57,1247.0199,  22.7657
    8.60,  0.76, -2.45, -0.32, 29.02,1291.4548,  22.5692
    8.70,  0.56, -2.64, -0.45, 28.45,1298.0345,  22.5606
    8.80,  0.44, -2.57, -0.22, 28.54,1262.1449,  22.7169
    8.90,  0.64, -2.49, -0.10, 29.10,1199.8505,  22.9757
    9.00,  1.03, -2.83,  0.12, 29.39,1169.3441,  23.0929
    9.10,  1.03, -2.41,  0.28, 29.71,1176.9493,  23.0562
    9.20,  0.91, -2.51,  0.25, 29.47,1244.0291,  22.7779
    9.30,  0.94, -2.31,  0.07, 29.35,1325.2937,  22.4190
    9.40,  0.69, -2.42, -0.20, 28.36,1366.3107,  22.2689
    9.50,  0.78, -2.46, -0.26, 28.32,1315.0396,  22.5020
    9.60,  0.89, -2.63, -0.18, 28.61,1236.3384,  22.8170
    9.70,  0.82, -2.72, -0.18, 28.85,1192.7579,  23.0062
    9.80,  0.50, -2.70, -0.22, 28.65,1163.4480,  23.1270
    9.90,  0.48, -2.60, -0.30, 28.64,1163.1062,  23.1234
   10.00,  0.78, -2.62, -0.27, 28.72,1163.3625,  23.1039
   10.10,  0.80, -2.62,  0.02, 28.78,1162.0808,  23.1270
   10.20,  0.86, -2.77,  0.15, 28.96,1190.3654,  23.0330
   10.30,  1.01, -2.66,  0.31, 28.88,1166.8661,  23.1161
   10.40,  0.66, -2.67, -0.07, 28.76,1200.3632,  22.9818
   10.50,  0.71, -2.67, -0.31, 28.65,1292.9929,  22.5985
   10.60,  0.58, -2.70, -0.32, 28.57,1194.8088,  22.9891
   10.70,  0.53, -2.55, -0.26, 28.45,1164.4734,  23.1307
   10.80,  0.63, -2.73, -0.38, 28.46,1162.7644,  23.1405
   10.90,  0.59, -2.62, -0.45, 28.32,1161.7389,  23.1405
   11.00,  0.45, -2.83, -0.40, 28.33,1161.5680,  23.1551
   11.10,  0.41, -2.68, -0.62, 28.40,1161.7389,  23.1270
   11.20,  0.57, -2.81, -0.41, 28.58,1162.2517,  23.1417
   11.30,  0.38, -2.73, -0.41, 28.65,1161.4825,  23.1563
   11.40,  0.41, -2.60, -0.42, 28.57,1162.0808,  23.1161
   11.50,  0.41, -2.50, -0.40, 28.61,1161.4825,  23.1148
   11.60,  0.25, -2.50, -0.48, 28.67,1161.4825,  23.1246
   11.70,  0.36, -2.58, -0.47, 28.70,1161.4825,  23.1222
   11.80,  0.34, -2.45, -0.55, 28.47,1161.9098,  23.1075
   11.90,  0.32, -2.46, -0.48, 28.79,1162.0808,  23.1136
   12.00,  0.51, -2.39, -0.34, 29.27,1162.0808,  23.1112
   12.10,  0.35, -2.34, -0.45, 29.22,1161.7389,  23.1075
   12.20,  0.47, -2.15, -0.62, 29.14,1162.2517,  23.1087
   12.30,  0.33, -2.08, -0.53, 29.52,1162.2517,  23.0843
   12.40,  0.58, -2.34, -0.65, 29.77,1162.1663,  23.0794
   12.50,  0.60, -2.52, -0.26, 29.82,1163.1917,  23.0831
   12.60,  0.59, -2.48, -0.21, 29.92,1165.7551,  23.0550
   12.70,  0.63, -2.45, -0.05, 29.84,1164.0461,  23.0416
   12.80,  0.56, -2.68,  0.01, 29.68,1163.1062,  23.0343
   12.90,  0.41, -2.71, -0.05, 29.74,1162.9353,  23.0538
   13.00,  0.92, -3.00, -0.07, 29.40,1162.2517,  23.0807
   13.10,  0.97, -2.55, -0.40, 29.27,1162.7644,  23.0501
   13.20,  0.71, -2.55, -0.32, 29.24,1162.8499,  23.0526
   13.30,  0.54, -2.37, -0.07, 29.40,1163.5334,  23.0550
   13.40,  0.59, -2.06, -0.40, 28.83,1163.9607,  23.0672
   13.50,  0.81, -2.70, -0.22, 29.17,1163.8752,  23.1014
   13.60,  0.62, -2.61, -0.05, 29.10,1164.2170,  23.0880
   13.70,  0.83, -2.67,  0.14, 28.96,1165.8406,  23.0770
   13.80,  0.89, -2.61,  0.07, 29.17,1165.5842,  23.0904
   13.90,  0.74, -2.66,  0.22, 29.11,1189.0835,  23.0062
   14.00,  0.49, -2.77,  0.16, 28.92,1180.6238,  23.0404
   14.10,  0.69, -2.98,  0.20, 29.25,1186.8618,  23.0257
   14.20,  0.66, -2.96,  0.23, 29.13,1201.2177,  22.9818
   14.30,  0.69, -3.09,  0.25, 29.02,1192.6725,  23.0062
   14.40,  1.02, -2.96,  0.12, 29.25,1181.8201,  23.0501
   14.50,  1.22, -2.63,  0.22, 29.43,1217.2826,  22.9207
   14.60,  1.67, -2.73,  0.24, 29.15,1217.3680,  22.9134
   14.70,  1.21, -1.96, -0.01, 29.14,1243.3455,  22.8231
   14.80,  1.12, -2.02, -0.33, 29.13,1264.7084,  22.7364
   14.90,  0.84, -2.24, -0.17, 29.11,1274.2791,  22.6827
   15.00,  0.79, -2.18,  0.00, 29.03,1181.6492,  23.0257
   15.10,  0.76, -2.04, -0.55, 28.81,1171.1387,  23.0758
   15.20,  0.86, -2.08, -0.11, 28.64,1165.9260,  23.0892
   15.30,  0.70, -2.00, -0.18, 28.58,1164.4734,  23.1148
   15.40,  0.67, -2.06, -0.07, 28.49,1164.5588,  23.1197
   15.50,  0.57, -2.05, -0.26, 28.56,1164.5588,  23.1209
   15.60,  0.59, -2.23, -0.07, 28.50,1163.7898,  23.1234
   15.70,  0.71, -2.01, -0.17, 28.50,1163.8752,  23.1283
   15.80,  0.87, -2.08, -0.11, 28.63,1163.1062,  23.1356
   15.90,  0.75, -2.07, -0.02, 28.67,1163.8752,  23.1283
   16.00,  0.85, -2.14, -0.16, 28.72,1164.3025,  23.1185
   16.10,  0.85, -2.23, -0.30, 28.78,1163.1917,  23.1161
   16.20,  0.70, -2.28, -0.24, 28.78,1163.1062,  23.1148
   16.30,  0.45, -2.18, -0.55, 28.65,1163.7898,  23.1051
   16.40,  0.96, -1.91, -0.46, 28.82,1163.1917,  23.1136
   16.50,  1.01, -2.08, -0.15, 28.90,1162.6790,  23.1087
   16.60,  0.91, -2.01, -0.16, 28.82,1162.6790,  23.1136
   16.70,  0.81, -1.81, -0.16, 28.72,1162.6790,  23.1063
   16.80,  0.93, -1.80, -0.22, 28.82,1162.3372,  23.1075
   16.90,  1.09, -1.78, -0.14, 28.90,1161.9098,  23.0990
   17.00,  1.02, -1.84, -0.24, 28.72,1162.0808,  23.1063
   17.10,  0.91, -1.87, -0.23, 28.72,1161.9098,  23.1039
   17.20,  1.04, -1.95, -0.14, 28.83,1162.4226,  23.1014
   17.30,  1.13, -1.93, -0.36, 28.74,1161.7389,  23.1112
   17.40,  1.55, -1.89, -0.39, 28.75,1162.2517,  23.1124
   17.50,  1.21, -1.48, -0.26, 28.79,1161.6534,  23.1002
   17.60,  1.27, -1.52, -0.03, 28.85,1161.9952,  23.0977
   17.70,  1.16, -1.85, -0.09, 28.86,1161.9952,  23.1075
   17.80,  1.20, -2.04, -0.03, 28.75,1161.9098,  23.1173
   17.90,  1.26, -1.96, -0.16, 28.85,1161.4825,  23.1124
   18.00,  1.25, -1.97,  0.01, 28.95,1161.1407,  23.1173
   18.10,  1.14, -2.13,  0.06, 28.99,1161.1407,  23.1185
   18.20,  1.12, -2.11,  0.00, 28.93,1162.7644,  23.0990
   18.30,  0.99, -2.22,  0.17, 28.90,1167.6351,  23.0831
   18.40,  1.08, -2.31,  0.43, 28.99,1169.5150,  23.0843
   18.50,  1.23, -2.36,  0.01, 28.85,1171.3096,  23.0733
   18.60,  1.10, -2.54,  0.42, 28.71,1174.5568,  23.0623
   18.70,  1.29, -2.48,  0.53, 28.93,1178.1458,  23.0550
   18.80,  1.41, -2.23,  0.46, 29.04,1181.3074,  23.0489
   18.90,  1.45, -2.31,  0.12, 28.97,1187.4600,  23.0221
   19.00,  1.32, -2.18,  0.17, 29.04,1182.9310,  23.0379
   19.10,  1.16, -2.13,  0.08, 29.24,1183.1019,  23.0343
   19.20,  1.21, -2.18,  0.02, 29.28,1173.4458,  23.0672
   19.30,  1.04, -2.16,  0.37, 29.28,1171.0532,  23.0685
   19.40,  0.91, -2.38,  0.40, 29.29,1177.0348,  23.0453
   19.50,  0.84, -2.22,  0.51, 29.25,1179.0002,  23.0440
   19.60,  0.80, -2.42,  0.70, 29.38,1183.2728,  23.0306
   19.70,  0.69, -2.36,  0.66, 29.47,1191.3053,  23.0221
   19.80,  0.52, -2.21,  0.50, 29.45,1185.8363,  23.0367
   19.90,  0.58, -2.15,  0.47, 29.45,1180.7947,  23.0562
   20.00,  0.49, -2.24,  0.39, 29.53,1186.3491,  23.0343
   20.10,  0.29, -2.25,  0.44, 29.81,1186.3491,  23.0379
   20.20,  0.32, -1.83,  0.55, 29.84,1209.5065,  22.9427
   20.30,  0.21, -1.78,  0.40, 29.85,1305.7252,  22.5875
   20.40,  0.45, -1.86,  0.71, 29.75,1362.6362,  22.3751
   20.50,  0.43, -1.63,  0.63, 29.84,1357.8508,  22.3946
   20.60,  0.54, -1.79,  0.72, 30.00,1357.2527,  22.3751
   20.70,  0.65, -1.64,  0.53, 29.54,1262.3158,  22.7242
   20.80,  0.66, -2.03,  0.70, 29.60,1257.2740,  22.7462
   20.90,  0.51, -2.23,  0.81, 29.95,1287.4386,  22.6314
   21.00, -0.26, -2.72,  0.27, 29.25,1264.4520,  22.7181
   21.10, -0.19, -2.82,  0.26, 29.33,1367.7633,  22.3360
   21.20, -0.42, -2.69,  0.22, 29.43,1220.9570,  22.8414
   21.30, -0.05, -2.87, -0.03, 29.22,1185.1527,  23.0099
   21.40, -0.12, -2.99, -0.11, 29.10,1173.1040,  23.0501
   21.50, -0.19, -2.98, -0.10, 29.00,1165.7551,  23.0782
   21.60, -0.20, -2.97, -0.07, 28.88,1165.6697,  23.0746
   21.70,  0.07, -3.24, -0.12, 29.06,1166.0970,  23.0807
   21.80,  0.00, -3.32,  0.10, 29.24,1173.8730,  23.0660
   21.90,  0.11, -3.23,  0.03, 29.75,1201.5594,  22.9793
   22.00,  0.13, -3.17,  0.10, 29.49,1251.0361,  22.8023
   22.10,  0.19, -3.33,  0.48, 30.21,1342.7260,  22.4739
   22.20,  0.03, -3.08,  0.25, 29.27,1324.1829,  22.5191
   22.30,  0.41, -2.93,  0.11, 29.15,1350.4166,  22.4227
   22.40,  0.21, -2.92,  0.14, 29.28,1325.6355,  22.4984
   22.50,  0.13, -2.87,  0.04, 29.08,1299.2310,  22.5911
   22.60,  0.27, -2.77, -0.05, 29.13,1187.6309,  22.9989
   22.70,  0.09, -2.90, -0.21, 28.96,1186.0072,  23.0037
   22.80,  0.00, -2.74, -0.06, 28.90,1195.4924,  22.9647
   22.90,  0.01, -2.97,  0.03, 29.38,1176.3512,  23.0392
   23.00,  0.04, -3.08,  0.09, 29.14,1165.8406,  23.0990
   23.10, -0.20, -2.97, -0.08, 29.08,1165.5842,  23.1026
   23.20, -0.03, -3.05, -0.01, 29.32,1170.7114,  23.0721
   23.30, -0.09, -3.04, -0.20, 29.21,1168.7460,  23.0868
   23.40, -0.11, -3.13, -0.28, 29.32,1169.8568,  23.0636
   23.50, -0.03, -3.56, -0.09, 29.74,1165.1570,  23.0648
   23.60, -0.42, -3.52, -0.55, 30.07,1165.1570,  23.0758
   23.70, -0.14, -3.36, -0.22, 30.45,1164.3025,  23.0819
   23.80, -0.36, -3.19, -0.42, 30.42,1165.1570,  23.0770
   23.90, -0.59, -3.06, -0.18, 30.50,1167.1224,  23.0709
   24.00, -0.85, -3.14, -0.10, 30.49,1168.3187,  23.0416
   24.10, -0.62, -2.87,  0.13, 30.45,1218.8208,  22.8707
   24.20, -0.71, -2.88, -0.28, 30.70,1259.4958,  22.7303
   24.30, -0.33, -2.93, -0.53, 29.77,1292.0530,  22.6033
   24.40, -0.47, -2.89, -0.32, 30.06,1305.8961,  22.5582
   24.50, -0.71, -2.72,  0.04, 30.32,1251.1216,  22.7401
   24.60, -0.43, -3.03, -0.29, 30.21,1201.7303,  22.9207
   24.70, -0.54, -3.06, -0.11, 29.92,1224.5460,  22.8377
   24.80, -0.63, -3.25, -0.27, 30.78,1194.1252,  22.9268
   24.90, -0.64, -3.08, -0.12, 30.53,1194.3816,  22.9378
   25.00, -0.54, -3.01, -0.27, 30.49,1188.7417,  22.9622
   25.10, -0.53, -3.05, -0.39, 30.50,1210.4465,  22.8768
   25.20, -0.71, -2.92, -0.45, 30.09,1216.5135,  22.8536
   25.30, -0.78, -3.25,  0.01, 31.33,1252.5742,  22.7266
   25.40, -1.00, -2.92,  0.09, 31.40,1269.1519,  22.6583
   25.50, -0.82, -2.80,  0.13, 31.47,1259.4104,  22.7059
   25.60, -1.08, -2.79,  0.10, 31.62,1254.5397,  22.7218
   25.70, -1.10, -2.74,  0.06, 30.66,1330.5063,  22.4569
   25.80, -0.69, -2.50,  0.03, 30.55,1345.6312,  22.3995
   25.90, -0.64, -2.59, -0.02, 29.88,1372.9758,  22.3030
   26.00, -0.02, -2.68,  0.02, 30.20,1300.7690,  22.5399
   26.10, -0.43, -3.19,  0.30, 30.24,1350.8439,  22.3653
   26.20, -0.41, -3.55,  0.24, 30.31,1268.1265,  22.6558
   26.30, -0.48, -3.21,  0.15, 30.23,1269.4082,  22.6546
   26.40, -0.33, -3.21,  0.03, 30.20,1275.8171,  22.6217
   26.50, -0.30, -3.33, -0.06, 29.86,1227.6223,  22.7755
   26.60, -0.25, -3.27,  0.00, 30.00,1205.6611,  22.8634
   26.70, -0.11, -3.16,  0.32, 30.63,1218.8208,  22.8243
   26.80, -0.16, -3.22,  0.12, 30.35,1240.6964,  22.7340
   26.90, -0.16, -3.16,  0.17, 30.42,1230.1859,  22.7962
   27.00, -0.40, -3.50,  0.08, 28.89,1300.3418,  22.5655
   27.10, -0.28, -3.53, -0.06, 28.93,1316.1504,  22.4910
   27.20, -0.61, -3.34, -0.07, 29.10,1228.9895,  22.7913
   27.30, -0.85, -3.15, -0.10, 29.18,1207.6266,  22.8927
   27.40, -0.89, -3.16, -0.29, 29.32,1167.1224,  23.0941
   27.50, -0.75, -3.31,  0.05, 29.39,1184.8109,  23.0099
   27.60, -1.00, -3.39, -0.14, 29.46,1179.7693,  23.0233
   27.70, -1.23, -3.36, -0.17, 29.28,1170.7114,  23.0660
   27.80, -1.42, -3.27, -0.55, 29.60,1181.7346,  23.0221
   27.90, -1.09, -3.36,  0.04, 30.10,1172.5059,  23.0685
   28.00, -1.37, -3.39, -0.34, 28.90,1191.7325,  22.9781
   28.10, -1.23, -3.65, -0.63, 28.93,1218.7354,  22.8707
   28.20, -1.05, -3.53, -0.18, 29.27,1188.6562,  22.9940
   28.30, -1.03, -3.45, -0.63, 28.92,1166.3534,  23.0794
   28.40, -0.86, -3.15, -0.31, 29.53,1165.4988,  23.0807
   28.50, -0.80, -3.39,  0.16, 30.48,1168.0624,  23.0807
   28.60, -0.95, -2.92,  0.00, 30.62,1165.4988,  23.0831
   28.70, -0.98, -2.91,  0.16, 30.66,1230.2714,  22.8377
   28.80, -1.61, -2.83,  0.09, 30.49,1223.8624,  22.8609
   28.90, -0.92, -3.11,  0.00, 30.39,1281.7133,  22.6473
   29.00, -1.39, -3.13,  0.18, 29.72,1341.1877,  22.4068
   29.10, -1.30, -3.21, -0.23, 29.11,1392.5443,  22.2005
   29.20, -1.29, -2.97, -0.62, 29.11,1431.8522,  22.0516
   29.30, -1.24, -2.93, -0.77, 29.36,1365.0288,  22.3006
   29.40, -1.24, -2.84, -0.93, 29.38,1197.0305,  22.9488
   29.50, -1.43, -2.88, -0.58, 29.61,1173.6167,  23.0392
   29.60, -1.65, -3.02, -0.78, 29.43,1170.1987,  23.0257
   29.70, -1.69, -2.77, -0.52, 29.24,1168.4042,  23.0282
   29.80, -1.72, -2.73, -0.43, 29.18,1169.3441,  23.0074
   29.90, -1.62, -2.97, -0.26, 29.24,1170.3696,  23.0160
   30.00, -1.34, -3.51, -0.28, 29.67,1173.4458,  23.0282
   30.10, -1.40, -3.08, -0.34, 29.78,1175.8385,  23.0147
   30.20, -1.34, -3.12, -0.34, 29.84,1172.1641,  23.0318
   30.30, -1.28, -3.15, -0.26, 29.82,1192.9288,  22.9610
   30.40, -0.93, -3.15, -0.30, 29.59,1187.0327,  22.9903
   30.50, -0.87, -2.76, -0.07, 29.53,1184.0419,  23.0086
   30.60, -0.52, -2.70,  0.40, 29.31,1183.1874,  23.0037
   30.70, -0.22, -2.92,  0.36, 29.67,1181.2219,  23.0172
   30.80, -0.34, -2.90,  0.11, 29.67,1176.6930,  23.0294
   30.90, -0.50, -3.15,  0.09, 29.79,1185.9218,  22.9964
   31.00, -0.70, -2.94,  0.28, 29.91,1199.5941,  22.9525
   31.10, -0.60, -2.89,  0.16, 29.96,1222.6661,  22.8719
   31.20, -0.90, -2.74, -0.18, 30.00,1218.9062,  22.8817
   31.30, -0.89, -2.78,  0.20, 30.02,1221.8970,  22.8646
   31.40, -0.94, -2.41,  0.30, 30.11,1213.5227,  22.8927
   31.50, -1.05, -2.41,  0.41, 30.17,1223.0079,  22.8524
   31.60, -1.22, -2.34,  0.28, 30.23,1209.5919,  22.9024
   31.70, -1.01, -2.30,  0.25, 30.18,1203.2686,  22.9281
   31.80, -0.93, -2.46,  0.46, 30.10,1224.1188,  22.8609
   31.90, -0.56, -2.77,  0.24, 30.07,1227.3660,  22.8365
   32.00, -0.82, -2.54, -0.51, 30.14,1234.4585,  22.8097
   32.10, -0.45, -2.61, -0.46, 29.61,1241.9781,  22.7950
   32.20, -0.66, -2.80, -0.07, 29.99,1239.2438,  22.7926
   32.30, -0.70, -3.09, -0.65, 29.43,1199.0814,  22.9476
   32.40, -0.51, -3.39, -0.27, 29.28,1189.5962,  22.9842
   32.50, -0.66, -3.35,  0.11, 30.07,1190.2799,  22.9720
   32.60, -0.94, -3.17, -0.15, 29.98,1174.8131,  23.0367
   32.70, -1.20, -3.65, -0.67, 29.17,1179.2566,  23.0306
   32.80, -1.15, -3.21, -0.62, 29.45,1190.1090,  22.9903
   32.90, -1.29, -3.07, -0.22, 29.47,1199.9359,  22.9537
   33.00, -0.95, -2.78, -0.36, 29.45,1178.1458,  23.0440
   33.10, -0.63, -2.90,  0.16, 29.71,1188.8271,  22.9818
   33.20, -0.57, -2.80, -0.04, 29.79,1204.0376,  22.9293
   33.30, -0.92, -2.84, -0.12, 29.36,1214.1210,  22.9037
   33.40, -0.74, -3.15, -0.42, 29.18,1220.0171,  22.8890
   33.50, -0.70, -3.31, -0.37, 28.95,1238.1329,  22.8451
   33.60, -0.53, -3.44, -0.30, 28.96,1197.0305,  22.9732
   33.70, -0.56, -3.18, -0.15, 29.03,1166.8661,  23.0672
   33.80, -0.78, -2.99, -0.32, 28.96,1164.3879,  23.0782
   33.90, -0.91, -3.05, -0.31, 29.10,1163.1917,  23.0941
   34.00, -0.89, -2.99, -0.24, 29.27,1162.9353,  23.0990
   34.10, -0.78, -2.95, -0.11, 29.21,1162.6790,  23.0929
   34.20, -1.04, -2.94, -0.13, 29.25,1163.2771,  23.0929
   34.30, -0.87, -3.08, -0.39, 29.27,1163.3625,  23.0904
   34.40, -0.86, -3.15, -0.44, 29.20,1163.7043,  23.0843
   34.50, -1.06, -3.01, -0.64, 29.08,1163.3625,  23.0794
   34.60, -0.90, -3.19, -0.37, 29.29,1163.7043,  23.0746
   34.70, -0.94, -3.13, -0.19, 29.24,1163.8752,  23.0794
   34.80, -0.78, -3.25, -0.24, 29.40,1164.3025,  23.0758
   34.90, -1.12, -3.36, -0.41, 29.08,1163.4480,  23.0672
   35.00, -1.42, -3.33, -0.56, 29.61,1171.1387,  23.0440
   35.10, -0.97, -2.80, -0.34, 29.88,1179.5984,  23.0282
   35.20, -1.17, -2.86,  0.24, 29.72,1179.8547,  23.0184
   35.30, -1.95, -2.39,  0.24, 29.93,1202.7559,  22.9513
   35.40, -1.78, -2.49,  0.16, 29.02,1270.2628,  22.7352
   35.50, -1.74, -2.11,  0.37, 29.72,1218.0518,  22.9049
   35.60, -0.29, -2.39,  0.98, 29.63,1251.1216,  22.8011
   35.70, -1.07, -2.93,  0.71, 29.40,1258.8977,  22.7681
   35.80, -1.23, -3.18, -0.15, 29.45,1256.5050,  22.7743
   35.90, -0.89, -3.36, -0.07, 29.60,1274.4500,  22.7218
   36.00, -1.39, -3.35, -0.13, 29.32,1270.0063,  22.7218
   36.10, -1.27, -3.43, -0.31, 29.25,1251.6343,  22.7694
   36.20, -0.93, -3.49,  0.23, 29.40,1238.3038,  22.8023
   36.30, -1.32, -3.16,  0.26, 29.18,1167.3788,  23.0233
   36.40, -1.29, -3.35,  0.06, 29.79,1169.0023,  23.0099
   36.50, -1.74, -3.56,  0.04, 29.95,1172.4204,  23.0013
   36.60, -1.85, -3.42,  0.01, 29.92,1186.5200,  22.9549
   36.70, -1.41, -3.43,  0.12, 29.81,1176.2657,  22.9818
   36.80, -1.66, -3.84, -0.31, 29.92,1181.8201,  22.9622
   36.90, -1.70, -3.36, -0.23, 29.82,1200.1068,  22.9000
   37.00, -1.98, -3.31, -0.30, 29.77,1177.6329,  22.9708
   37.10, -1.67, -2.83, -0.03, 29.72,1176.0094,  22.9793
   37.20, -1.49, -2.79, -0.31, 30.03,1174.9840,  22.9793
   37.30, -1.47, -2.50,  0.40, 29.67,1175.0695,  22.9708
   37.40, -1.05, -2.93,  0.22, 29.92,1191.1344,  22.9171
   37.50, -1.52, -3.28,  0.00, 29.96,1218.3081,  22.8475
   37.60, -1.55, -2.81,  0.21, 29.98,1211.0447,  22.8719
